sp1_name,sp2_name,peak_flowering,start_flowering,first_no_flowering,end_flowering,flowering_length
Amaranthus retroflexus,Amaranthus retroflexus,8,7,11,10,4
Atriplex hortensis,Atriplex hortensis,8,8,10,9,2
Atriplex prostrata,Atriplex prostrata,NA,NA,NA,#VALUE!,#VALUE!
Axyris amaranthoides,Axyris amaranthoides,NA,6,9,8,3
Chenopodium album,Chenopodium album,7,7,10,9,3
Salsola tragus,Salsola tragus,9,7,11,10,4
Carum carvi,Carum carvi,7,5,9,8,4
Eryngium planum,Eryngium planum,NA,NA,NA,#VALUE!,#VALUE!
Pastinaca sativa,Pastinaca sativa,NA,NA,NA,#VALUE!,#VALUE!
Asparagus officinalis,Asparagus officinalis,6,5,9,8,4
Achillea ptarmica,Achillea ptarmica,NA,NA,NA,#VALUE!,#VALUE!
Anthemis cotula,Anthemis cotula,NA,7,10,9,3
Arctium lappa,Arctium lappa,NA,NA,NA,#VALUE!,#VALUE!
Arctium minus,Arctium minus,8,6,10,9,4
Arctium tomentosum,Arctium tomentosum,8,7,10,9,3
Artemisia absinthium,Artemisia absinthium,8,7,10,9,3
Artemisia vulgaris,Artemisia vulgaris,NA,NA,NA,#VALUE!,#VALUE!
Carduus nutans,Carduus nutans,7,6,11,10,5
Centaurea macrocephala,Centaurea macrocephala,NA,NA,NA,#VALUE!,#VALUE!
Centaurea montana,Centaurea montana,7,5,10,9,5
Cichorium intybus,Cichorium intybus,7,7,10,9,3
Cirsium arvense,Cirsium arvense,8,6,10,9,4
Cirsium vulgare,Cirsium vulgare,8,7,12,11,5
Cota tinctoria,Cota tinctoria,NA,NA,NA,#VALUE!,#VALUE!
Crepis tectorum,Crepis tectorum,6,6,11,10,5
Lactuca serriola,Lactuca serriola,8,7,11,10,4
Leucanthemum vulgare,Leucanthemum vulgare,8,6,11,10,5
Matricaria discoidea,Matricaria discoidea,7,5,12,11,7
Pilosella aurantiaca,Pilosella aurantiaca,7,5,11,10,6
Rudbeckia hirta,Rudbeckia hirta,NA,7,10,9,3
Senecio viscosus,Senecio viscosus,9,7,12,11,5
Senecio vulgaris,Senecio vulgaris,8,5,12,11,7
Sonchus arvensis,Sonchus arvensis,8,7,11,10,4
Sonchus asper,Sonchus asper,8,7,11,10,4
Sonchus oleraceus,Sonchus oleraceus,NA,NA,NA,#VALUE!,#VALUE!
Tanacetum vulgare,Tanacetum vulgare,8,7,11,10,4
Taraxacum erythrospermum,Taraxacum erythrospermum,NA,NA,NA,#VALUE!,#VALUE!
Taraxacum officinale,Taraxacum officinale,7,3,12,11,9
Tragopogon dubius,Tragopogon dubius,6,5,11,10,6
Tragopogon pratensis,Tragopogon pratensis,6,5,11,10,6
Tripleurospermum inodorum,Tripleurospermum inodorum,8,5,12,11,7
Impatiens glandulifera,Impatiens glandulifera,9,7,11,10,4
Berberis vulgaris,Berberis vulgaris,6,6,7,6,1
Borago officinalis,Borago officinalis,NA,NA,NA,#VALUE!,#VALUE!
Cynoglossum officinale,Cynoglossum officinale,6,5,10,9,5
Echium vulgare,Echium vulgare,7,6,11,10,5
Lappula squarrosa,Lappula squarrosa,6,6,11,10,5
Myosotis arvensis,Myosotis arvensis,NA,NA,NA,#VALUE!,#VALUE!
Myosotis laxa,Myosotis laxa,NA,NA,NA,#VALUE!,#VALUE!
Myosotis stricta,Myosotis stricta,NA,NA,NA,#VALUE!,#VALUE!
Symphytum officinale,Symphytum officinale,7,6,9,8,3
Alliaria petiolata,Alliaria petiolata,6,5,10,9,5
Alyssum alyssoides,Alyssum alyssoides,NA,6,9,8,3
Alyssum desertorum,Alyssum desertorum,5,4,7,6,3
Alyssum turkestanicum,Alyssum turkestanicum,5,4,7,6,3
Armoracia rusticana,Armoracia rusticana,6,5,7,6,2
Brassica juncea,Brassica juncea,NA,NA,NA,#VALUE!,#VALUE!
Brassica napus,Brassica napus,NA,NA,NA,#VALUE!,#VALUE!
Camelina microcarpa,Camelina microcarpa,NA,6,8,7,2
Capsella bursa-pastoris,Capsella bursa-pastoris,5,4,10,9,6
Descurainia sophia,Descurainia sophia,5,5,9,8,4
Diplotaxis muralis,Diplotaxis muralis,NA,6,9,8,3
Erucastrum gallicum,Erucastrum gallicum,8,5,12,11,7
Hesperis matronalis,Hesperis matronalis,6,5,10,9,5
Sisymbrium altissimum,Sisymbrium altissimum,NA,6,9,8,3
Sisymbrium loeselii,Sisymbrium loeselii,7,5,11,10,6
Thlaspi arvense,Thlaspi arvense,5,4,10,9,6
Campanula glomerata,Campanula glomerata,7,6,10,9,4
Campanula rapunculoides,Campanula rapunculoides,8,6,11,10,5
Humulus lupulus,Humulus lupulus,9,6,11,10,5
Knautia arvensis,Knautia arvensis,7,6,12,11,6
Lonicera tatarica,Lonicera tatarica,6,4,8,7,4
Arenaria serpyllifolia,Arenaria serpyllifolia,NA,NA,NA,#VALUE!,#VALUE!
Cerastium fontanum,Cerastium fontanum,NA,NA,NA,#VALUE!,#VALUE!
Dianthus armeria,Dianthus armeria,NA,NA,NA,#VALUE!,#VALUE!
Dianthus barbatus,Dianthus barbatus,NA,NA,NA,#VALUE!,#VALUE!
Gypsophila elegans,Gypsophila elegans,NA,NA,NA,#VALUE!,#VALUE!
Gypsophila paniculata,Gypsophila paniculata,7,6,10,9,4
Saponaria officinalis,Saponaria officinalis,7,6,9,8,3
Silene chalcedonica,Silene chalcedonica,7,6,10,9,4
Silene latifolia,Silene latifolia,7,5,11,10,6
Silene noctiflora,Silene noctiflora,NA,7,10,9,3
Silene vulgaris,Silene vulgaris,7,6,9,8,3
Stellaria media,Stellaria media,7,4,11,10,7
Convolvulus arvensis,Convolvulus arvensis,8,5,11,10,6
Sedum acre,Sedum acre,7,6,8,7,2
Elaeagnus angustifolia,Elaeagnus angustifolia,6,6,7,6,1
Hippophae rhamnoides,Hippophae rhamnoides,5,5,7,6,2
Astragalus cicer,Astragalus cicer,7,6,11,10,5
Caragana arborescens,Caragana arborescens,6,5,7,6,2
Lotus corniculatus,Lotus corniculatus,8,5,10,9,5
Medicago falcata,Medicago falcata,8,6,10,9,4
Medicago lupulina,Medicago lupulina,6,5,12,11,7
Medicago sativa,Medicago sativa,7,5,11,10,6
