source_taxon_name,interaction_type,target_taxon_name,target_taxon,notes,latitude,longitude,study_citation
Achillea millefolium,pollinatedBy,Tiphia,genus,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Uranotes,genus,now known as Strymon genus,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Epimelissodes,subgenus,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Leionotus,genus,now known as Parancistrocerus,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Chloralictus,subgenus,in genus Lasioglossum,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Sphex,genus,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Haltichella,genus,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Metopius,genus,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Perdita,genus,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Meligethes,genus,,56.238737,9.953652,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark)."
Achillea millefolium,pollinatedBy,Melangyna,genus,,-43.02823,171.78466,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass."
Achillea millefolium,pollinatedBy,Calliphora,genus,,-43.02823,171.78466,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass."
Achillea millefolium,pollinatedBy,Proscission,remove,,-43.02823,171.78466,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass."
Achillea millefolium,pollinatedBy,Euryglossa,genus,,-36.45,148.266667,"Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210."
Achillea millefolium,pollinatedBy,Phasia,genus,,-36.45,148.266667,"Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210."
Achillea millefolium,pollinatedBy,Prosena,genus,,-36.45,148.266667,"Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210."
Achillea millefolium,pollinatedBy,Odontomyia,genus,,52.762395,1.575532,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43."
Achillea millefolium,pollinatedBy,Phaonia,genus,,52.762395,1.575532,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43."
Achillea millefolium,pollinatedBy,Agathis,genus,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
