source_taxon_name,interaction_type,target_taxon_name_poor,target_taxon_name,target_taxon,notes,latitude,longitude,study_citation
Achillea millefolium borealis,flowersVisitedBy,Achillea millefolium borealis,Achillea millefolium,plant,,46.829065,-83.127842,https://www.inaturalist.org/observations/18482355
Achillea millefolium,flowersVisitedBy,? parasitica,remove,,,NA,NA,WorldFAIR pilot data from: VisitationData_Luisa_Carvalheiro. Accessed at <https://docs.google.com/spreadsheets/u/1/d/1cJ0qX9ppqHoSyqFykwYJef-DFOzoutthBXjwKRY81T8/export?format=tsv&gid=776329546> on 05 May 2025.
Achillea millefolium,pollinatedBy,Spilomyia 4-fasciata,Spilomyia,genus,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Milesia,Milesia,genus,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Tiphia,Tiphia,,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Uranotes,Uranotes,,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Epimelissodes,Epimelissodes,,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Leionotus,Leionotus,,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Chloralictus,Chloralictus,,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Sphex,Sphex,,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Haltichella,Haltichella,,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Metopius,Metopius,,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Perdita,Perdita,,,39.278958,-89.8968771,"Robertson, C. 1929. Flowers and insects: lists of visitors to four hundred and fifty-three flowers. Carlinville, IL, USA, C. Robertson."
Achillea millefolium,pollinatedBy,Meligethes,Meligethes,,,56.238737,9.953652,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark)."
Achillea millefolium,pollinatedBy,Melangyna,Melangyna,,,-43.02823,171.78466,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass."
Achillea millefolium,pollinatedBy,Calliphora,Calliphora,,,-43.02823,171.78466,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass."
Achillea millefolium,pollinatedBy,Proscission sp1 M_PL_028,Proscission,,,-43.02823,171.78466,"Primack, R.B. (1983). Insect pollination in the New Zealand mountain flora. New Zealand J. Bot. 21, 317-333. Cass."
Achillea millefolium,pollinatedBy,Euryglossa,Euryglossa,,,-36.45,148.266667,"Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210."
Achillea millefolium,pollinatedBy,Lasioglossum (austrevylaeus) maunga,Lasioglossum maunga,species,,-36.45,148.266667,"Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210."
Achillea millefolium,pollinatedBy,Phasia,Phasia,,,-36.45,148.266667,"Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210."
Achillea millefolium,pollinatedBy,Prosena,Prosena,,,-36.45,148.266667,"Inouye, D. W., and G. H. Pyke. 1988. Pollination biology in the Snowy Mountains of Australia: comparisons with montane Colorado, USA. Australian Journal of Ecology 13:191-210."
