"source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation","species","target_taxon","target_taxon_genus","target_taxon_species"
"GBIF:6303257","Achillea millefolium borealis","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium | Achillea millefolium borealis",NA,"flowersVisitedBy","GBIF:7946948","Philanthus bilunatus","Animalia | Arthropoda | Insecta | Hymenoptera | Crabronidae | Philanthus | Philanthus bilunatus",NA,51.0560837777,-114.0538681122,"https://www.inaturalist.org/observations/90083692","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","Achillea millefolium","species","Philanthus","Philanthus bilunatus"
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","IRMNG:1437378","Polistes","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Polistes",NA,49.0873611111111,-119.517833333333,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","genus","Polistes",NA
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","GBIF:1144253","Cortodera subpilosa","Animalia | Arthropoda | Insecta | Coleoptera | Cerambycidae | Cortodera | Cortodera subpilosa",NA,49.0153333333333,-119.58775,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","species","Cortodera","Cortodera subpilosa"
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","GBIF:1144253","Cortodera subpilosa","Animalia | Arthropoda | Insecta | Coleoptera | Cerambycidae | Cortodera | Cortodera subpilosa",NA,49.0153333333333,-119.58775,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","species","Cortodera","Cortodera subpilosa"
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","GBIF:1540826","Eupeodes volucris","Animalia | Arthropoda | Insecta | Diptera | Syrphidae | Eupeodes | Eupeodes volucris",NA,49.3118333333333,-119.679972222222,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","species","Eupeodes","Eupeodes volucris"
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","EOL:9019","Tachinidae","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Diptera | Brachycera | Cyclorrhapha | Schizophora | Calyptratae | Oestroidea | Tachinidae",NA,49.2621111111111,-119.509333333333,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","family",NA,NA
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","EOL:9019","Tachinidae","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Diptera | Brachycera | Cyclorrhapha | Schizophora | Calyptratae | Oestroidea | Tachinidae",NA,49.0873611111111,-119.517833333333,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","family",NA,NA
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","EOL:3293099","Trichodes ornatus","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Coleoptera | Polyphaga | Cucujiformia | Cleroidea | Cleridae | Trichodes | Trichodes ornatus",NA,49.1843055555556,-119.585527777778,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","species","Trichodes","Trichodes ornatus"
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","GBIF:1144253","Cortodera subpilosa","Animalia | Arthropoda | Insecta | Coleoptera | Cerambycidae | Cortodera | Cortodera subpilosa",NA,49.0153333333333,-119.58775,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","species","Cortodera","Cortodera subpilosa"
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","NCBI:2807411","Scarabaeidae sp.","root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Endopterygota | Coleoptera | Polyphaga | Scarabaeiformia | Scarabaeoidea | Scarabaeidae | unclassified Scarabaeidae | Scarabaeidae sp.",NA,49.0873611111111,-119.517833333333,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","family",NA,NA
"GBIF:3120060","Achillea millefolium","Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Achillea | Achillea millefolium",NA,"pollinatedBy","EOL:9019","Tachinidae","Life | Cellular Organisms | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Diptera | Brachycera | Cyclorrhapha | Schizophora | Calyptratae | Oestroidea | Tachinidae",NA,49.0873611111111,-119.517833333333,"Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1. Accessed at <https://github.com/globalbioticinteractions/guzman2022/archive/e24f70b4a435156264c45a853b4a58687df4cdfc.zip> on 03 May 2025.","Guzman, Laura Melissa; Kelly, Tyler; Elle, Elizabeth, 2022, ""A dataset for pollinator diversity and their interactions with plants in the Pacific NorthWest"", https://doi.org/10.5683/SP3/WTEZNH, Borealis, V1","Achillea millefolium","family",NA,NA
