source_taxon_name,interaction_type,target_taxon_name,target_taxon,latitude,longitude,place,study_citation
Agropyron cristatum,flowersVisitedBy,Auloara elliotti,species,,,USA,USDA. Species: Agropyron cristatum. Fire Effects Information System (FEIS). [accessed 2025 May 12]. https://www.fs.usda.gov/database/feis/plants/graminoid/agrcri/all.html.
Agropyron cristatum,flowersVisitedBy,Acridomorpha,nanorder,,,USA,USDA. Species: Agropyron cristatum. Fire Effects Information System (FEIS). [accessed 2025 May 12]. https://www.fs.usda.gov/database/feis/plants/graminoid/agrcri/all.html.
Agropyron cristatum,flowersVisitedBy,Cicadellidae,family,,,USA,"Haws, B. Austin; Bohart, George E. 1986. Black grass bugs (Labops herperius) Uhler (Hemiptera: Miridae) and other insects in relation to crested wheatgrass. In: Johnson, Kendall L., ed. Crested wheatgrass: its values, problems and myths: Symposium proceedings; 1983 Oct. 3-7; Logan, UT. Logan, UT: Utah State University; 1986: 123-145. [1107]"
Agropyron cristatum,flowersVisitedBy,Elateridae,family,,,USA,"Haws, B. Austin; Bohart, George E. 1986. Black grass bugs (Labops herperius) Uhler (Hemiptera: Miridae) and other insects in relation to crested wheatgrass. In: Johnson, Kendall L., ed. Crested wheatgrass: its values, problems and myths: Symposium proceedings; 1983 Oct. 3-7; Logan, UT. Logan, UT: Utah State University; 1986: 123-145. [1107]"
Agropyron cristatum,flowersVisitedBy,Scarabaeidae,family,,,USA,"Haws, B. Austin; Bohart, George E. 1986. Black grass bugs (Labops herperius) Uhler (Hemiptera: Miridae) and other insects in relation to crested wheatgrass. In: Johnson, Kendall L., ed. Crested wheatgrass: its values, problems and myths: Symposium proceedings; 1983 Oct. 3-7; Logan, UT. Logan, UT: Utah State University; 1986: 123-145. [1107]"
Agropyron cristatum,flowersVisitedBy,Sphenophorus,genus,,,USA,"Haws, B. Austin; Bohart, George E. 1986. Black grass bugs (Labops herperius) Uhler (Hemiptera: Miridae) and other insects in relation to crested wheatgrass. In: Johnson, Kendall L., ed. Crested wheatgrass: its values, problems and myths: Symposium proceedings; 1983 Oct. 3-7; Logan, UT. Logan, UT: Utah State University; 1986: 123-145. [1107]"
Agropyron cristatum,flowersVisitedBy,Ageneotettix deorum),species,,,USA,"Branson, David H., and Gregory A. Sword. “Grasshopper Herbivory Affects Native Plant Diversity and Abundance in a Grassland Dominated by the Exotic Grass Agropyron Cristatum.” Restoration Ecology, vol. 17, no. 1, 2009, pp. 89–96, https://doi.org/10.1111/j.1526-100X.2007.00343.x."
Agropyron cristatum,flowersVisitedBy,Melanoplus infantilis,species,,,USA,"Branson, David H., and Gregory A. Sword. “Grasshopper Herbivory Affects Native Plant Diversity and Abundance in a Grassland Dominated by the Exotic Grass Agropyron Cristatum.” Restoration Ecology, vol. 17, no. 1, 2009, pp. 89–96, https://doi.org/10.1111/j.1526-100X.2007.00343.x."
Agropyron cristatum,flowersVisitedBy,Melanoplus sanguinipes,species,,,USA,"Branson, David H., and Gregory A. Sword. “Grasshopper Herbivory Affects Native Plant Diversity and Abundance in a Grassland Dominated by the Exotic Grass Agropyron Cristatum.” Restoration Ecology, vol. 17, no. 1, 2009, pp. 89–96, https://doi.org/10.1111/j.1526-100X.2007.00343.x."
Agropyron cristatum,flowersVisitedBy,Psilochalcis minuta,species,,,USA,"Petersen, Mark J., et al. “Seasonal Trap Abundance of Two Species of Psilochalcis Kieffer (Hymenoptera: Chalcididae) in Rangelands of the Eastern Great Basin of Utah, USA.” Land (Basel), vol. 12, no. 1, 2023, pp. 54-, https://doi.org/10.3390/land12010054."
