"sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","sp1_name","sp2_name","effects","quality","sp1_start_flowering","sp1_end_flowering","sp1_flowering_length","sp2_start_flowering","sp2_end_flowering","sp2_flowering_length","flowering_overlap","flowering_union","flowering_synchrony"
1,19,3,38,1,0.017,1.4,0.55547,0.85045,"Acer glabrum","Amelanchier alnifolia",-0.0048780487804878,"random",5,6,2,5,7,3,2,3,0.666666666666667
1,129,3,28,1,0.012,1,0.73252,0.71992,"Acer glabrum","Cornus sericea",0,"random",5,6,2,5,8,4,2,4,0.5
1,141,3,34,1,0.015,1.2,0.62836,0.8047,"Acer glabrum","Dasiphora fruticosa",-0.0024390243902439,"random",5,6,2,5,10,6,2,6,0.333333333333333
1,160,3,32,0,0.014,1.2,0.22132,1,"Acer glabrum","Elaeagnus commutata",-0.0146341463414634,"random",5,6,2,5,9,5,2,5,0.4
1,186,3,28,1,0.012,1,0.73252,0.71992,"Acer glabrum","Galium boreale",0,"random",5,6,2,6,8,3,1,4,0.25
1,258,3,30,1,0.013,1.1,0.69874,0.75045,"Acer glabrum","Maianthemum stellatum",-0.00121951219512195,"random",5,6,2,5,7,3,2,3,0.666666666666667
1,430,3,30,1,0.013,1.1,0.69874,0.75045,"Acer glabrum","Symphoricarpos occidentalis",-0.00121951219512195,"random",5,6,2,6,8,3,1,4,0.25
1,442,3,30,0,0.013,1.1,0.24955,1,"Acer glabrum","Thermopsis rhombifolia",-0.0134146341463415,"random",5,6,2,4,7,4,2,4,0.5
2,19,4,38,3,0.023,1.9,0.9578,0.25442,"Acer negundo","Amelanchier alnifolia",0.0134146341463415,"random",4,5,2,5,7,3,1,4,0.25
2,42,4,25,0,0.015,1.2,0.22584,1,"Acer negundo","Arctostaphylos uva-ursi",-0.0146341463414634,"random",4,5,2,5,9,5,1,6,0.166666666666667
2,49,4,24,2,0.014,1.2,0.92681,0.33403,"Acer negundo","Artemisia frigida",0.00975609756097561,"random",4,5,2,8,9,2,0,6,0
