species
Achillea millefolium
Agropyron cristatum
Allium cernuum
Allium textile
Alyssum turkestanicum
Amelanchier alnifolia
Anemonastrum canadense
Anemone cylindrica
Anemone multifida
Antennaria rosea
Anticlea elegans
Apocynum androsaemifolium
Arctostaphylos uva-ursi
Arnica cordifolia
Artemisia absinthium
Artemisia campestris
Artemisia cana
Artemisia frigida
Artemisia longifolia
Artemisia ludoviciana
Asclepias viridiflora
Astragalus agrestis
Astragalus alpinus
Astragalus canadensis
Astragalus cicer
Astragalus gilviflorus
Astragalus laxmannii
Atriplex gardneri
Bouteloua gracilis
Bromus inermis
Campanula alaskana
Campanula rapunculoides
Caragana arborescens
Carex aurea
Carex filifolia
Castilleja miniata
Cerastium arvense
Chamaenerion angustifolium
Chenopodium album
Cirsium arvense
Cirsium undulatum
Cirsium vulgare
Clematis tangutica
Comandra umbellata
Cornus sericea
Cotoneaster acutifolius
Cypripedium parviflorum
Dalea candida
Dalea purpurea
Dasiphora fruticosa
Elaeagnus commutata
Erigeron caespitosus
Eriogonum flavum
Eriogonum umbellatum
Euphorbia virgata
Eurybia conspicua
Eurybia sibirica
Fragaria virginiana
Gaillardia aristata
Galearis rotundifolia
Galium boreale
Geranium viscosissimum
Geum triflorum
Glycyrrhiza lepidota
Grindelia squarrosa
Gutierrezia sarothrae
Hedysarum alpinum
Hedysarum boreale
Helianthus annuus
Heracleum maximum
Hesperostipa comata
Heterotheca villosa
Heuchera cylindrica
Hordeum jubatum
Hymenoxys richardsonii
Hyoscyamus niger
Juncus balticus
Krascheninnikovia lanata
Lepidium densiflorum
Leucanthemum vulgare
Liatris punctata
Lilium philadelphicum
Linaria dalmatica
Linaria vulgaris
Linum lewisii
Lithospermum incisum
Lithospermum ruderale
Lonicera dioica
Lonicera tatarica
Lotus corniculatus
Lupinus sericeus
Lygodesmia juncea
Maianthemum stellatum
Medicago lupulina
Medicago sativa
Melilotus albus
Melilotus officinalis
Monarda fistulosa
Musineon divaricatum
Oenothera suffrutescens
Opuntia polyacantha
Oreocarya glomerata
Oxytropis campestris
Oxytropis sericea
Oxytropis splendens
Packera cana
Paronychia sessiliflora
Pelecyphora vivipara
Penstemon albidus
Penstemon confertus
Penstemon nitidus
Petasites frigidus
Phalaris arundinacea
Phleum pratense
Phlox hoodii
Physaria arenosa
Plantago major
Plantago patagonica
Polemonium pulcherrimum
Polygala senega
Populus balsamifera
Populus tremuloides
Potentilla concinna
Prunus virginiana
Pulsatilla nuttalliana
Ratibida columnifera
Rhus aromatica
Ribes oxyacanthoides
Rosa acicularis
Rosa arkansana
Rosa woodsii
Rubus idaeus
Salix interior
Salsola tragus
Shepherdia argentea
Shepherdia canadensis
Sisymbrium loeselii
Sisyrinchium montanum
Solidago missouriensis
Sphaeralcea coccinea
Sporobolus rigidus
Symphoricarpos occidentalis
Symphyotrichum ericoides
Symphyotrichum laeve
Tanacetum vulgare
Taraxacum officinale
Thermopsis rhombifolia
Thlaspi arvense
Tragopogon dubius
Trifolium hybridum
Trifolium pratense
Tripleurospermum inodorum
Typha latifolia
Vicia cracca
Viola adunca
Viola nuttallii
Zizia aptera
